filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,thread_top,94,151,939,879
012.jpg,1024,1024,thread_top,211,43,800,971
001.jpg,1024,1024,thread_top,294,39,756,979
016.jpg,1024,1024,thread_top,305,24,771,979
004.jpg,1024,1024,thread_top,39,315,998,737
005.jpg,1024,1024,thread_top,313,37,773,988
015.jpg,1024,1024,thread_top,156,51,822,973
009.jpg,1024,1024,thread_top,137,83,873,917
014.jpg,1024,1024,thread_top,83,160,915,849
020.jpg,1024,1024,thread_top,343,39,720,992
008.jpg,1024,1024,thread_top,294,24,758,1000
002.jpg,1024,1024,thread_top,60,230,979,803
022.jpg,1024,1024,thread_top,96,86,896,943
013.jpg,1024,1024,thread_top,334,39,679,992
000.jpg,1024,1024,thread_top,58,181,973,815
018.jpg,1024,1024,thread_top,188,71,843,939
021.jpg,1024,1024,thread_top,105,141,928,877
010.jpg,1024,1024,thread_top,77,166,956,847
011.jpg,1024,1024,thread_top,37,237,971,794
019.jpg,1024,1024,thread_top,303,24,743,992
017.jpg,1024,1024,thread_top,41,322,1000,711
003.jpg,1024,1024,thread_top,175,54,856,964
007.jpg,1024,1024,thread_top,311,30,754,986
