filename,width,height,class,xmin,ymin,xmax,ymax
006.jpg,1024,1024,manipulated_front,100,132,934,905
012.jpg,1024,1024,manipulated_front,356,41,677,981
001.jpg,1024,1024,manipulated_front,104,111,898,922
016.jpg,1024,1024,manipulated_front,322,37,709,996
004.jpg,1024,1024,manipulated_front,185,66,862,966
005.jpg,1024,1024,manipulated_front,232,58,775,983
015.jpg,1024,1024,manipulated_front,28,358,996,669
009.jpg,1024,1024,manipulated_front,105,132,915,890
014.jpg,1024,1024,manipulated_front,149,79,847,934
020.jpg,1024,1024,manipulated_front,117,122,900,930
008.jpg,1024,1024,manipulated_front,322,24,726,979
002.jpg,1024,1024,manipulated_front,337,43,690,975
022.jpg,1024,1024,manipulated_front,179,62,822,947
013.jpg,1024,1024,manipulated_front,137,92,945,939
000.jpg,1024,1024,manipulated_front,166,128,873,907
018.jpg,1024,1024,manipulated_front,54,347,1000,679
021.jpg,1024,1024,manipulated_front,98,171,966,856
010.jpg,1024,1024,manipulated_front,307,32,700,1003
023.jpg,1024,1024,manipulated_front,22,296,973,745
011.jpg,1024,1024,manipulated_front,54,222,990,805
019.jpg,1024,1024,manipulated_front,22,349,983,675
017.jpg,1024,1024,manipulated_front,90,203,971,832
003.jpg,1024,1024,manipulated_front,47,264,985,769
007.jpg,1024,1024,manipulated_front,60,237,977,811
